area,station_name,lat,lng,bike_racks
Bielany Wrocławskie Kolejowa P&R,Bielany Wrocławskie Kolejowa P&R,51.03795,16.976374,10
Wysoka/Nastrojowa,Wysoka/Nastrojowa,51.052835,17.003956,10
Wysoka Parkowa / Lipowa,Wysoka Parkowa / Lipowa,51.042472,17.014538,10
Ślęza Parkowa,Ślęza Parkowa,51.034473,16.993278,10
BIKE 591352,BIKE 591352,51.040342,16.952948,0
BIKE 591647,BIKE 591647,51.030071,16.999586,0
BIKE 591839,BIKE 591839,51.097284,17.033001,0
Mokronos Górny PKP,Mokronos Górny PKP,51.078886,16.908149,10
Smolec,Smolec,51.087048,16.911286,10
Stawowa / Wiśniowa Mokronos Dolny,Stawowa / Wiśniowa Mokronos Dolny,51.07055,16.936889,10
Wrocławska / Spacerowa Mokronos Górny,Wrocławska / Spacerowa Mokronos Górny,51.074457,16.919512,10
BIKE 590566,BIKE 590566,51.083231,16.898926,0
Psary Centrum,Psary Centrum,51.185896,17.029398,10
BIKE 591614,BIKE 591614,51.272618,17.077608,0
